Ez	PRON	ez	O
machet	VERB	machen	O
trûric	ADV	trûrec	O
mir	PRON	ich	O
den	DET	der	O
lîp	NOUN	lîp	O
,	PUNCT	,	O
daz	SCONJ	daz	O
alsô	ADV	alsô	O
mangiu	ADJ	manec	O
heizet	VERB	heizzen	O
wîp	NOUN	wîp	O
.	SPUNCT	.	O

ir	DET	sie	O
stimme	NOUN	stimme	O
sint	VERB	sint	O
gelîche	ADV	gelîch	O
hel	ADJ	hel	O
:	SPUNCT	:	O

genuoge	ADV	genuoc	O
sint	VERB	sint	O
gein	ADP	gegen	O
valsche	NOUN	valsch	O
snel	ADJ	snel	O
,	PUNCT	,	O
etslîche	DET	etelich	O
valsches	NOUN	valsch	O
laere	ADJ	læren	O
:	SPUNCT	:	O

sus	ADV	sus	O
teilent	VERB	teilen	O
sich	PRON	sich	O
diu	DET	die	O
maere	NOUN	maere	O
.	SPUNCT	.	O

daz	SCONJ	daz	O
die	PRON	die	O
gelîche	ADV	gelîch	O
sint	VERB	sint	O
genamt	SPUNCT	namen	O

,	PUNCT	,	O
des	PRON	der	O
hât	AUX	haben	O
mîn	DET	ich	O
herze	NOUN	herze	O
sich	PRON	sich	O
geschamt	VERB	schamen	O
.	SPUNCT	.	O

wîpheit	NOUN	wîpheit	O
,	PUNCT	,	O
dîn	DET	dû	O
ordenlîcher	ADJ	ordenlich	O
site	NOUN	site	O
,	PUNCT	,	O
dem	PRON	der	O
vert	VERB	varn	O
und	CONJ	und	O
vuor	VERB	varn	O
ie	ADV	ie	O
triwe	ADV	triuwe	O
mite	ADV	mit	O
.	SPUNCT	.	O

genuoge	ADV	genuoc	O
sprechent	VERB	sprechen	O
,	PUNCT	,	O
armuot	NOUN	armuot	O
,	PUNCT	,	O
daz	SCONJ	daz	O
diu	PRON	die	O
sî	PRON	sîn	O
ze	ADP	zuo	O
nihte	NOUN	niht	O
guot	ADJ	guot	O
.	SPUNCT	.	O

swer	PRON	swer	O
die	PRON	die	O
durch	ADP	durch	O
