Herr	NN	Herr	B-EntityPER
Präsident	NN	Präsident	I-EntityPER
!	$.	!	O

Meine	PPOSAT	mein	B-EntityPER
Damen	NN	Dame	I-EntityPER
und	KON	und	I-EntityPER
Herren	NN	Herr	I-EntityPER
!	$.	!	O

Ich	PPER	ich	O
sage	VVFIN	sagen	O
es	PPER	es	O
gleich	ADJD	gleich	O
zu	APPR	zu	O
Beginn	NN	Beginn	O
und	KON	und	O
ohne	APPR	ohne	O
jede	PIAT	jede	O
Umschweife	NN	Umschweife	O
:	$.	:	O
Die	ART	die	B-EntityORG
Union	NN	Union	I-EntityORG
hat	VAFIN	haben	O
diese	PDAT	dies	O
heutige	ADJA	heutig	O
Debatte	NN	Debatte	O
nicht	PTKNEG	nicht	O
deshalb	PAV	deshalb	O
beantragt	VVPP	beantragen	O
,	$,	,	O
weil	KOUS	weil	O
wir	PPER	wir	O
uns	PRF	wir	O
der	ART	die	O
Hoffnung	NN	Hoffnung	O
hingeben	VVINF	hingeben	O
,	$,	,	O
wir	PPER	wir	O
als	KOKOM	als	O
Opposition	NN	Opposition	B-EntityORG
könnten	VMFIN	können	O
die	ART	die	B-EntityORG
Bundesregierung	NN	Bundesregierung	I-EntityORG
,	$,	,	O
Herr	NN	Herr	B-EntityPER
Bundeskanzler	NN	Bundeskanzler	I-EntityPER
und	KON	und	O
Herr	NN	Herr	B-EntityPER
Bundesaußenminister	NN	Bundesaußenminister	I-EntityPER
,	$,	,	O
noch	ADV	noch	O
von	APPR	von	O
ihrer	PPOSAT	ihr	O
Haltung	NN	Haltung	O
zum	APPRART	zu	O
EU-Beitritt	NN	EU-Beitritt	O
der	ART	die	B-EntityORG
Türkei	NE	Türkei	I-EntityORG
abbringen	VVINF	abbringen	O
.	$.	.	O

Wir	PPER	wir	O
wissen	VVFIN	wissen	O
,	$,	,	O
dass	KOUS	dass	O
wir	PPER	wir	O
sie	PPER	sie	O
nicht	PTKNEG	nicht	O
umstimmen	VVINF	umstimmen	O
werden	VAFIN	werden	O
.	$.	.	O

Wir	PPER	wir	O
machen	VVFIN	machen	O
uns	PPER	wir	O
da	ADV	da	O
keine	PIAT	keine	O
Illusionen	NN	Illusion	O
.	$.	.	O

Der	ART	die	B-EntityORG
EU-Rat	NN	EU-Rat	I-EntityORG
der	ART	die	I-EntityORG
Staats	NN	Staat	I-EntityORG
-	$(	-	I-EntityORG
und	KON	und	I-EntityORG
Regierungschefs	NN	Regierungschef	I-EntityORG
-	$(	-	O
dazu	PAV	dazu	O
gehören	VVFIN	gehören	O
,	$,	,	O
das	PDS	die	O
sage	VVFIN	sagen	O
ich	PPER	ich	O
ganz	ADV	ganz	O
klar	ADJD	klar	O
,	$,	,	O
auch	ADV	auch	O
Staats	NN	Staat	B-EntityPER
-	$(	-	I-EntityPER
und	KON	und	I-EntityPER
Regierungschefs	NN	Regierungschef	I-EntityPER
der	ART	die	I-EntityPER
Parteienfamilie	NN	Parteienfamilie	I-EntityPER
der	ART	die	I-EntityPER
Europäischen	ADJA	europäisch	I-EntityPER
Volkspartei	NN	Volkspartei	I-EntityPER
-	$(	-	O
wird	VAFIN	werden	O
heute	ADV	heute	O
oder	KON	oder	O
morgen	ADV	morgen	O
aller	PIAT	alle	O
Voraussicht	NN	Voraussicht	O
nach	APPR	nach	O
die	ART	die	O
Aufnahme	NN	Aufnahme	O
von	APPR	von	O
Verhandlungen	NN	Verhandlung	O
mit	APPR	mit	O
der	ART	die	B-EntityORG
Türkei	NE	Türkei	I-EntityORG
über	APPR	über	O
den	ART	die	O
Beitritt	NN	Beitritt	O
zur	APPRART	zu	B-EntityORG
