Am	APPRART	an	O
13	CARD	13	O
.	$.	.	O
Julius	NE	Julius	O
.	$.	.	O

Nein	PTKANT	nein	O
,	$,	,	O
ich	PPER	ich	O
betriege	VVFIN	betriege	O
mich	PRF	ich	O
nicht	PTKNEG	nicht	O
!	$.	!	O

Ich	PPER	ich	O
lese	VVFIN	lesen	O
in	APPR	in	O
ihren	PPOSAT	ihr	O
schwarzen	ADJA	schwarz	O
Augen	NN	Auge	O
wahre	ADJA	wahr	O
Theilnehmung	NN	Theilnehmung	O
an	APPR	an	O
mir	PPER	ich	O
und	KON	und	O
meinem	PPOSAT	mein	O
Schicksal	NN	Schicksal	O
.	$.	.	O

Ja	PTKANT	ja	O
ich	PPER	ich	O
fühle	VVFIN	fühlen	O
,	$,	,	O
und	KON	und	O
darin	PAV	darin	O
darf	VMFIN	dürfen	O
ich	PPER	ich	O
meinem	PPOSAT	mein	O
Herzen	NN	Herz	O
trauen	VVFIN	trauen	O
,	$,	,	O
daß	KOUS	dass	O
sie	PPER	sie	O
-	$(	-	O
o	ADJD	o	O
darf	VMFIN	dürfen	O
ich	PPER	ich	O
,	$,	,	O
kann	VMFIN	können	O
ich	PPER	ich	O
den	ART	die	O
Himmel	NN	Himmel	O
in	APPR	in	O
diesen	PDAT	dies	O
Worten	NN	Wort	O
aussprechen	VVINF	aussprechen	O
?	$.	?	O

-	$(	-	O
daß	KOUS	dass	O
sie	PPER	sie	O
mich	PPER	ich	O
liebt	VVFIN	lieben	O
!	$.	!	O

Mich	PPER	ich	O
liebt	VVFIN	lieben	O
!	$.	!	O

-	$(	-	O
Und	KON	und	O
wie	KOUS	wie	O
werth	NE	werth	O
ich	PPER	ich	O
mir	PRF	ich	O
selbst	ADV	selbst	O
werde	VAFIN	werden	O
,	$,	,	O
wie	KOUS	wie	O
ich	PPER	ich	O
-	$(	-	O
dir	PPER	du	O
darf	VMFIN	dürfen	O
ich's	ADJD	ich's	O
wohl	ADV	wohl	O
sagen	VVINF	sagen	O
,	$,	,	O
du	PPER	du	O
hast	VAFIN	haben	O
Sinn	NN	Sinn	O
für	APPR	für	O
so	ADV	so	O
etwas	ADV	etwas	O
-	$(	-	O
wie	KOUS	wie	O
ich	PPER	ich	O
mich	PRF	ich	O
selbst	ADV	selbst	O
anbete	VVFIN	anbeten	O
,	$,	,	O
seitdem	KOUS	seitdem	O
sie	PPER	sie	O
mich	PPER	ich	O
liebt	VVFIN	lieben	O
!	$.	!	O

Ob	KOUS	ob	O
das	ART	die	O
Vermessenheit	NN	Vermessenheit	O
ist	VAFIN	sein	O
oder	KON	oder	O
Gefühl	NN	Gefühl	O
des	ART	die	O
wahren	ADJA	wahr	O
Verhältnisses	NN	Verhältnis	O
?	$.	?	O

-	$(	-	O
Ich	PPER	ich	O
kenne	VVFIN	kennen	O
den	ART	die	O
Menschen	NN	Mensch	O
nicht	PTKNEG	nicht	O
,	$,	,	O
von	APPR	von	O
dem	PRELS	die	O
ich	PPER	ich	O
etwas	ADV	etwas	O
in	APPR	in	O
Lottens	NN	Lottens	B-EntityPER
Herzen	NN	Herz	O
fürchtete	VVFIN	fürchten	O
.	$.	.	O

Und	KON	und	O
doch	ADV	doch	O
-	$(	-	O
wenn	KOUS	wenn	O
sie	PPER	sie	O
von	APPR	von	O
ihrem	PPOSAT	ihr	B-EntityPER
Bräutigam	NN	Bräutigam	I-EntityPER
spricht	VVFIN	sprechen	O
,	$,	,	O
mit	APPR	mit	O
solcher	PIAT	solche	O
Wärme	NN	Wärme	O
,	$,	,	O
solcher	PIAT	solche	O
Liebe	NN	Liebe	O
von	APPR	von	O
ihm	PPER	er	O
spricht	VVFIN	sprechen	O
-	$(	-	O
da	ADV	da	O
ist	VAFIN	sein	O
mir's	ADJD	mir's	O
wie	KOKOM	wie	O
einem	PIS	eine	O
,	$,	,	O
der	PRELS	die	O
aller	PIS	alle	O
seiner	PPOSAT	sein	O
Ehren	NN	Ehre|Ehren	O
und	KON	und	O
Würden	NN	Würde	O
entsetzt	VVPP	entsetzen	O
und	KON	und	O
dem	PRELS	die	O
der	ART	die	O
Degen	NN	Degen	O
genommen	VVPP	nehmen	O
wird	VAFIN	werden	O
.	$.	.	O

===B
Am	APPRART	an	O
16	CARD	16	O
.	$.	.	O
Julius	NE	Julius	O
.	$.	.	O

Ach	ITJ	ach	O
wie	KOUS	wie	O
mir	PPER	ich	O
das	PDS	die	O
durch	APPR	durch	O
alle	PIAT	alle	O
Adern	NN	Ader	O
läuft	VVFIN	laufen	O
,	$,	,	O
wenn	KOUS	wenn	O
mein	PPOSAT	mein	O
Finger	NN	Finger	O
unversehens	ADV	unversehens	O
den	ART	die	O
ihrigen	PPOSAT	ihrige	O
berührt	VVPP	berühren	O
,	$,	,	O
wenn	KOUS	wenn	O
unsere	PPOSAT	unser	O
Füße	NN	Fuß	O
sich	PRF	sich	O
unter	APPR	unter	O
dem	ART	die	B-EntityLOC
Tische	NN	Tisch	I-EntityLOC
begegnen	VVINF	begegnen	O
!	$.	!	O

Ich	PPER	ich	O
ziehe	VVFIN	zeihen|ziehen	O
zurück	PTKVZ	zurück	O
wie	KOKOM	wie	O
vom	APPRART	von	O
Feuer	NN	Feuer	O
,	$,	,	O
und	KON	und	O
eine	ART	eine	O
geheime	ADJA	geheim	O
Kraft	NN	Kraft	O
zieht	VVFIN	zeihen|ziehen	O
mich	PRF	ich	O
wieder	ADV	wieder	O
vorwärts	ADV	vorwärts	O
-	$(	-	O
mir	PPER	ich	O
wird's	VAFIN	werden	O
so	ADV	so	O
schwindelig	ADJD	schwindelig	O
vor	APPR	vor	O
allen	PIAT	alle	O
Sinnen	NN	Sinn|Sinnen	O
.	$.	.	O

-	$(	-	O
O	NN	O	O
!	$.	!	O

und	KON	und	O
ihre	PPOSAT	ihr	O
Unschuld	NN	Unschuld	O
,	$,	,	O
ihre	PPOSAT	ihr	O
unbefangne	ADJA	unbefangne	O
Seele	NN	Seele	O
fühlt	VVFIN	fühlen	O
nicht	PTKNEG	nicht	O
,	$,	,	O
wie	KOUS	wie	O
sehr	ADV	sehr	O
mich	PRF	ich	O
